version,candidates,scan_points,width,height,best_score,time_ms
baseline,256,1081,467,314,0.854329,18.175190
baseline,256,1081,467,314,0.838842,11.430257
baseline,256,1081,467,314,0.801194,11.552654
baseline,256,1081,467,314,0.819394,11.332547
baseline,256,1081,467,314,0.873258,11.475830
baseline,256,1081,467,314,0.940378,11.343902
baseline,256,1081,467,314,1.000000,11.651978
baseline,256,1081,467,314,1.000000,11.418225
baseline,256,1081,467,314,1.000000,11.368329
baseline,256,1081,467,314,0.991885,11.410985
baseline,256,1081,467,314,0.927979,11.348745
baseline,256,1081,467,314,0.879447,11.499581
baseline,256,1081,467,314,0.843315,11.306713
baseline,256,1081,467,314,0.802032,11.549321
baseline,256,1081,467,314,0.803163,11.317807
baseline,4,1081,467,314,0.723999,0.190940
baseline,4,1081,467,314,0.651314,0.190367
baseline,4,1081,467,314,0.530696,0.187659
baseline,4,1081,467,314,0.403515,0.226878
baseline,4,1081,467,314,0.656128,0.230316
baseline,4,1081,467,314,0.518862,0.221982
baseline,4,1081,467,314,0.441697,0.265733
baseline,4,1081,467,314,0.500013,0.221097
baseline,4,1081,467,314,0.521547,0.195055
baseline,4,1081,467,314,0.823348,0.208284
baseline,4,1081,467,314,0.790321,0.223024
baseline,4,1081,467,314,0.709895,0.226461
baseline,4,1081,467,314,0.733257,0.224742
baseline,4,1081,467,314,0.749005,0.224742
baseline,4,1081,467,314,0.650502,0.199013
baseline,4,1081,467,314,0.976768,0.252556
baseline,4,1081,467,314,0.935398,0.201304
baseline,4,1081,467,314,0.840855,0.236826
baseline,4,1081,467,314,0.853857,0.222034
baseline,4,1081,467,314,0.794573,0.232451
baseline,4,1081,467,314,0.728225,0.204534
baseline,4,1081,467,314,0.951791,0.204169
baseline,4,1081,467,314,0.824259,0.208544
baseline,4,1081,467,314,0.772879,0.229430
baseline,4,1081,467,314,0.812599,0.199586
baseline,4,1081,467,314,0.777036,0.226409
baseline,4,1081,467,314,0.824113,0.200159
baseline,4,1081,467,314,0.674804,0.236253
baseline,4,1081,467,314,0.723350,0.208753
baseline,4,1081,467,314,0.712938,0.228649
baseline,4,1081,467,314,0.685440,0.217555
baseline,4,1081,467,314,0.802325,0.241931
baseline,4,1081,467,314,0.771914,0.200628
baseline,4,1081,467,314,0.611594,0.224169
baseline,4,1081,467,314,0.755941,0.199586
baseline,4,1081,467,314,0.783653,0.229274
baseline,4,1081,467,314,0.509927,0.197398
baseline,4,1081,467,314,0.716363,0.230888
baseline,4,1081,467,314,0.647853,0.208180
baseline,256,1081,467,314,0.853407,11.439684
baseline,256,1081,467,314,0.838842,11.361194
baseline,256,1081,467,314,0.801937,11.544790
baseline,256,1081,467,314,0.820493,11.343694
baseline,256,1081,467,314,0.874002,11.382444
baseline,256,1081,467,314,0.941688,11.333329
baseline,256,1081,467,314,1.000000,11.319838
baseline,256,1081,467,314,1.000000,11.431455
baseline,256,1081,467,314,1.000000,11.275932
baseline,256,1081,467,314,0.991885,11.447548
baseline,256,1081,467,314,0.927235,11.339891
baseline,256,1081,467,314,0.880191,11.440882
baseline,256,1081,467,314,0.842394,11.293692
baseline,256,1081,467,314,0.802032,11.613801
baseline,256,1081,467,314,0.801498,11.342652
baseline,4,1081,467,314,0.729325,0.208284
baseline,4,1081,467,314,0.682201,0.215836
baseline,4,1081,467,314,0.527921,0.206409
baseline,4,1081,467,314,0.480826,0.266461
baseline,4,1081,467,314,0.606261,0.220315
baseline,4,1081,467,314,0.510555,0.231409
baseline,4,1081,467,314,0.504235,0.197555
baseline,4,1081,467,314,0.566795,0.196617
baseline,4,1081,467,314,0.463786,0.193023
baseline,4,1081,467,314,0.461733,0.236774
baseline,4,1081,467,314,0.828166,0.205264
baseline,4,1081,467,314,0.795672,0.229222
baseline,4,1081,467,314,0.716522,0.196565
baseline,4,1081,467,314,0.736199,0.234951
baseline,4,1081,467,314,0.750460,0.196773
baseline,4,1081,467,314,0.652522,0.220211
baseline,4,1081,467,314,0.981230,0.225628
