version,candidates,scan_points,width,height,best_score,time_ms
baseline,256,1081,467,314,0.853407,12.010112
baseline,256,1081,467,314,0.838098,11.577189
baseline,256,1081,467,314,0.801937,11.349061
baseline,256,1081,467,314,0.821414,11.507032
baseline,256,1081,467,314,0.874180,11.299841
baseline,256,1081,467,314,0.942609,11.339946
baseline,256,1081,467,314,1.000000,11.305987
baseline,256,1081,467,314,1.000000,11.333540
baseline,256,1081,467,314,1.000000,11.353592
baseline,256,1081,467,314,0.991885,11.375623
baseline,256,1081,467,314,0.927057,11.577605
baseline,256,1081,467,314,0.878703,11.496823
baseline,256,1081,467,314,0.840728,11.554324
baseline,256,1081,467,314,0.802032,11.356822
baseline,256,1081,467,314,0.802242,11.503959
baseline,4,1081,467,314,0.954200,0.192242
baseline,4,1081,467,314,0.827201,0.192920
baseline,4,1081,467,314,0.746016,0.190263
baseline,4,1081,467,314,0.747521,0.179117
baseline,4,1081,467,314,0.777842,0.183023
baseline,4,1081,467,314,0.658004,0.180575
baseline,4,1081,467,314,0.736729,0.186201
baseline,4,1081,467,314,0.831851,0.177451
baseline,4,1081,467,314,0.798016,0.181617
baseline,4,1081,467,314,0.702781,0.177190
baseline,4,1081,467,314,0.731915,0.178492
baseline,4,1081,467,314,0.754712,0.181409
baseline,4,1081,467,314,0.654365,0.180888
baseline,4,1081,467,314,0.722722,0.187763
baseline,4,1081,467,314,0.975847,0.180940
baseline,4,1081,467,314,0.935931,0.179586
baseline,4,1081,467,314,0.846594,0.179482
baseline,4,1081,467,314,0.850349,0.182867
baseline,4,1081,467,314,0.798502,0.180315
baseline,4,1081,467,314,0.814199,0.183388
baseline,4,1081,467,314,0.781256,0.185159
baseline,4,1081,467,314,0.823758,0.183753
baseline,4,1081,467,314,0.676469,0.175732
baseline,4,1081,467,314,0.721685,0.183596
baseline,4,1081,467,314,0.714103,0.178804
baseline,4,1081,467,314,0.685230,0.183908
baseline,4,1081,467,314,0.773579,0.187086
baseline,4,1081,467,314,0.803069,0.179117
baseline,4,1081,467,314,0.612516,0.182867
baseline,4,1081,467,314,0.759482,0.180159
baseline,4,1081,467,314,0.783653,0.181930
baseline,4,1081,467,314,0.509184,0.180471
baseline,4,1081,467,314,0.717495,0.183648
baseline,256,1081,467,314,0.853407,11.558699
baseline,256,1081,467,314,0.838664,11.315727
baseline,256,1081,467,314,0.801016,11.327342
baseline,256,1081,467,314,0.823645,11.331769
baseline,256,1081,467,314,0.873258,11.301091
baseline,256,1081,467,314,0.940378,11.681774
baseline,256,1081,467,314,1.000000,11.344113
baseline,256,1081,467,314,1.000000,11.376510
baseline,256,1081,467,314,1.000000,11.369373
baseline,256,1081,467,314,0.991885,11.432656
baseline,256,1081,467,314,0.926314,11.416093
baseline,256,1081,467,314,0.879447,11.307185
baseline,256,1081,467,314,0.841650,11.585678
baseline,256,1081,467,314,0.801288,11.466250
baseline,256,1081,467,314,0.802597,11.280310
baseline,4,1081,467,314,0.948639,0.189846
baseline,4,1081,467,314,0.822028,0.189117
baseline,4,1081,467,314,0.748780,0.188387
baseline,4,1081,467,314,0.751029,0.181097
baseline,4,1081,467,314,0.776920,0.177919
baseline,4,1081,467,314,0.660768,0.176617
baseline,4,1081,467,314,0.821472,0.183180
baseline,4,1081,467,314,0.787524,0.182347
baseline,4,1081,467,314,0.710250,0.179690
baseline,4,1081,467,314,0.733645,0.179534
baseline,4,1081,467,314,0.741391,0.178284
baseline,4,1081,467,314,0.724540,0.180367
baseline,4,1081,467,314,0.726974,0.179950
baseline,4,1081,467,314,0.982540,0.180419
baseline,4,1081,467,314,0.947442,0.183752
baseline,4,1081,467,314,0.856407,0.185471
baseline,4,1081,467,314,0.862328,0.179898
baseline,4,1081,467,314,0.805275,0.203596
baseline,4,1081,467,314,0.804063,0.184013
baseline,4,1081,467,314,0.777392,0.179117
baseline,4,1081,467,314,0.823402,0.182346
baseline,4,1081,467,314,0.678134,0.181305
baseline,4,1081,467,314,0.720020,0.179794
baseline,4,1081,467,314,0.712583,0.181513
baseline,4,1081,467,314,0.683565,0.175315
baseline,4,1081,467,314,0.801937,0.178179
baseline,4,1081,467,314,0.771559,0.178752
baseline,4,1081,467,314,0.617689,0.176148
baseline,4,1081,467,314,0.755764,0.180003
baseline,4,1081,467,314,0.782910,0.178180
baseline,4,1081,467,314,0.507907,0.179169
baseline,256,1081,467,314,0.853407,11.551668
baseline,256,1081,467,314,0.837565,11.292966
baseline,256,1081,467,314,0.802859,11.397290
baseline,256,1081,467,314,0.820881,11.366770
baseline,256,1081,467,314,0.875101,11.316612
baseline,256,1081,467,314,0.940201,11.389582
baseline,256,1081,467,314,1.000000,11.388540
baseline,256,1081,467,314,1.000000,11.348227
baseline,256,1081,467,314,1.000000,11.369478
baseline,256,1081,467,314,0.991319,11.360207
baseline,256,1081,467,314,0.927413,11.351926
baseline,256,1081,467,314,0.878703,11.407447
baseline,256,1081,467,314,0.842571,11.569324
baseline,256,1081,467,314,0.801288,11.493803
baseline,256,1081,467,314,0.803519,11.328332
baseline,4,1081,467,314,0.975669,0.195367
baseline,4,1081,467,314,0.934121,0.188596
baseline,4,1081,467,314,0.842731,0.191304
baseline,4,1081,467,314,0.855312,0.176356
baseline,4,1081,467,314,0.796028,0.183179
baseline,4,1081,467,314,0.720702,0.185575
baseline,4,1081,467,314,0.954378,0.178857
baseline,4,1081,467,314,0.820185,0.182399
baseline,4,1081,467,314,0.786345,0.176200
baseline,4,1081,467,314,0.828666,0.178700
baseline,4,1081,467,314,0.730990,0.179586
baseline,4,1081,467,314,0.807604,0.180680
baseline,4,1081,467,314,0.776503,0.177294
baseline,4,1081,467,314,0.822659,0.183283
baseline,4,1081,467,314,0.673882,0.180263
baseline,4,1081,467,314,0.718743,0.182867
baseline,4,1081,467,314,0.711128,0.171617
baseline,4,1081,467,314,0.682999,0.181356
baseline,4,1081,467,314,0.769295,0.184481
baseline,4,1081,467,314,0.803247,0.178075
baseline,4,1081,467,314,0.617301,0.179481
baseline,4,1081,467,314,0.755408,0.181982
baseline,4,1081,467,314,0.784397,0.173492
baseline,4,1081,467,314,0.508763,0.183128
baseline,4,1081,467,314,0.714520,0.188180
baseline,256,1081,467,314,0.853407,11.528698
baseline,256,1081,467,314,0.836078,11.317811
baseline,256,1081,467,314,0.800838,11.414791
baseline,256,1081,467,314,0.821237,11.325155
baseline,256,1081,467,314,0.873436,11.596721
