[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.853407, time=12.010112 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.838098, time=11.577189 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.801937, time=11.349061 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.821414, time=11.507032 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.874180, time=11.299841 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.942609, time=11.339946 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.305987 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.333540 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.353592 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.991885, time=11.375623 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.927057, time=11.577605 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.878703, time=11.496823 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.840728, time=11.554324 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.802032, time=11.356822 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.802242, time=11.503959 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.954200, time=0.192242 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.827201, time=0.192920 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.746016, time=0.190263 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.747521, time=0.179117 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.777842, time=0.183023 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.658004, time=0.180575 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.736729, time=0.186201 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.831851, time=0.177451 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.798016, time=0.181617 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.702781, time=0.177190 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.731915, time=0.178492 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.754712, time=0.181409 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.654365, time=0.180888 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.722722, time=0.187763 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.975847, time=0.180940 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.935931, time=0.179586 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.846594, time=0.179482 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.850349, time=0.182867 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.798502, time=0.180315 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314,  [RUNNING]  Bag Time: 1777606586.548216   Duration: 0.946607 / 96.405450                [RUNNING]  Bag Time: 1777606586.568338   Duration: 0.966730 / 96.405450                [RUNNING]  Bag Time: 1777606586.598748   Duration: 0.997140 / 96.405450                [RUNNING]  Bag Time: 1777606586.629395   Duration: 1.027786 / 96.405450                [RUNNING]  Bag Time: 1777606586.648925   Duration: 1.047317 / 96.405450                [RUNNING]  Bag Time: 1777606586.678705   Duration: 1.077096 / 96.405450                [RUNNING]  Bag Time: 1777606586.698410   Duration: 1.096801 / 96.405450                [RUNNING]  Bag Time: 1777606586.718668   Duration: 1.117060 / 96.405450               best_score=0.814199, time=0.183388 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.781256, time=0.185159 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.823758, time=0.183753 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.676469, time=0.175732 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.721685, time=0.183596 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.714103, time=0.178804 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.685230, time=0.183908 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.773579, time=0.187086 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.803069, time=0.179117 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.612516, time=0.182867 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.759482, time=0.180159 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.783653, time=0.181930 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.509184, time=0.180471 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.717495, time=0.183648 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.853407, time=11.558699 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.838664, time=11.315727 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.801016, time=11.327342 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.823645, time=11.331769 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.873258, time=11.301091 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.940378, time=11.681774 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.344113 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.376510 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.369373 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.991885, time=11.432656 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.926314, time=11.416093 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.879447, time=11.307185 ms
