version,candidates,scan_points,width,height,best_score,time_ms
baseline,2601,1081,467,314,0.873287,112.774136
baseline,2601,1081,467,314,0.876875,105.121185
baseline,2601,1081,467,314,0.866529,105.097695
baseline,2601,1081,467,314,0.847922,105.269208
baseline,2601,1081,467,314,0.883764,108.271585
baseline,2601,1081,467,314,0.946440,104.959412
baseline,2601,1081,467,314,0.991820,105.425771
baseline,2601,1081,467,314,0.976590,104.688940
baseline,2601,1081,467,314,0.870164,104.813109
baseline,2601,1081,467,314,0.832094,104.797431
baseline,2601,1081,467,314,0.777573,106.034476
baseline,2601,1081,467,314,0.777069,105.368479
baseline,2601,1081,467,314,0.780853,105.032955
baseline,2601,1081,467,314,0.766433,104.939933
baseline,2601,1081,467,314,0.771994,105.252124
baseline,4,1081,467,314,0.954200,0.203596
baseline,4,1081,467,314,0.827201,0.191252
baseline,4,1081,467,314,0.746016,0.189377
baseline,4,1081,467,314,0.747521,0.178231
baseline,4,1081,467,314,0.771852,0.176565
baseline,4,1081,467,314,0.705926,0.178335
baseline,4,1081,467,314,0.975847,0.188439
baseline,4,1081,467,314,0.935931,0.177085
baseline,4,1081,467,314,0.846594,0.174846
baseline,4,1081,467,314,0.823758,0.178127
baseline,4,1081,467,314,0.773579,0.184638
baseline,4,1081,467,314,0.619191,0.188075
baseline,4,1081,467,314,0.648064,0.181982
baseline,4,1081,467,314,0.831851,0.180367
baseline,4,1081,467,314,0.627161,0.177867
baseline,4,1081,467,314,0.857104,0.177971
baseline,4,1081,467,314,0.777842,0.175471
baseline,4,1081,467,314,0.856299,0.175418
baseline,4,1081,467,314,0.850349,0.174793
baseline,4,1081,467,314,0.798502,0.174482
baseline,4,1081,467,314,0.642227,0.188544
baseline,2601,1081,467,314,0.873465,105.227019
baseline,2601,1081,467,314,0.878718,104.932537
baseline,2601,1081,467,314,0.868194,105.532856
baseline,2601,1081,467,314,0.848844,104.924724
baseline,2601,1081,467,314,0.881921,104.940975
baseline,2601,1081,467,314,0.950336,106.329532
baseline,2601,1081,467,314,0.991076,105.076081
baseline,2601,1081,467,314,0.975103,104.887693
baseline,2601,1081,467,314,0.864037,105.030715
baseline,2601,1081,467,314,0.825434,104.883682
baseline,2601,1081,467,314,0.778074,104.856599
baseline,2601,1081,467,314,0.775970,105.169884
baseline,2601,1081,467,314,0.778444,105.593014
baseline,2601,1081,467,314,0.767176,105.442648
baseline,2601,1081,467,314,0.770329,105.233635
baseline,4,1081,467,314,0.953279,0.204013
baseline,4,1081,467,314,0.827378,0.187814
baseline,4,1081,467,314,0.751755,0.188127
baseline,4,1081,467,314,0.751740,0.175002
baseline,4,1081,467,314,0.774795,0.177450
baseline,4,1081,467,314,0.712409,0.175366
baseline,4,1081,467,314,0.973616,0.188960
baseline,4,1081,467,314,0.935575,0.177502
baseline,4,1081,467,314,0.847128,0.177658
baseline,4,1081,467,314,0.825601,0.181564
baseline,4,1081,467,314,0.773757,0.215159
baseline,4,1081,467,314,0.622876,0.185211
baseline,4,1081,467,314,0.653190,0.179064
baseline,4,1081,467,314,0.622165,0.179325
baseline,4,1081,467,314,0.864236,0.190054
baseline,4,1081,467,314,0.858287,0.176773
baseline,4,1081,467,314,0.805696,0.176356
baseline,4,1081,467,314,0.824059,0.178805
baseline,4,1081,467,314,0.858058,0.190939
baseline,4,1081,467,314,0.777131,0.176825
baseline,4,1081,467,314,0.638185,0.179585
baseline,2601,1081,467,314,0.893559,104.432480
