version,candidates,scan_points,h2d_ms,kernel_ms,d2h_ms,total_ms,best_score
gpu_cuda,256,1081,296.759447,3.402912,0.182972,300.595542,0.853407
gpu_cuda,256,1081,1.582470,3.312077,0.229379,5.379970,0.837743
gpu_cuda,256,1081,1.832213,3.351974,0.135835,5.673309,0.800094
gpu_cuda,256,1081,3.752917,3.309056,0.197034,7.521355,0.824567
gpu_cuda,256,1081,1.868828,3.377027,0.324953,5.982219,0.871949
gpu_cuda,256,1081,1.934819,3.355359,0.256774,6.083001,0.942965
gpu_cuda,256,1081,1.610022,3.323588,0.227660,5.643517,1.000000
gpu_cuda,256,1081,1.571480,3.354943,0.186826,5.504296,1.000000
gpu_cuda,256,1081,1.523250,3.467236,0.531309,6.255348,1.000000
gpu_cuda,256,1081,1.907422,3.367911,0.198284,5.738362,0.991885
gpu_cuda,256,1081,1.803254,3.360724,0.134689,5.557473,0.927801
gpu_cuda,256,1081,1.724295,3.367495,0.166357,5.587213,0.877960
gpu_cuda,256,1081,1.980861,3.469215,0.241097,5.959875,0.841472
gpu_cuda,256,1081,1.694815,3.351348,0.204013,5.527421,0.801288
gpu_cuda,256,1081,1.972424,3.453382,0.138804,5.839769,0.801320
gpu_cuda,4,1081,1.643408,1.707680,0.124898,3.731042,0.951225
gpu_cuda,4,1081,1.486739,1.719139,0.287504,4.013285,0.822416
gpu_cuda,4,1081,1.999923,1.890391,0.272660,4.741159,0.749136
gpu_cuda,4,1081,1.837005,1.709034,0.128908,4.391884,0.751207
gpu_cuda,4,1081,2.079352,1.718305,0.194274,4.441989,0.778408
gpu_cuda,4,1081,1.596584,1.723774,0.190211,4.275424,0.658602
gpu_cuda,4,1081,3.501663,1.843932,0.229535,6.489569,0.723999
gpu_cuda,4,1081,3.280826,2.219353,1.266736,7.248434,0.979565
gpu_cuda,4,1081,1.815337,1.717263,0.161773,4.100995,0.946698
gpu_cuda,4,1081,1.669607,1.733826,0.145887,3.880992,0.856585
gpu_cuda,4,1081,1.713825,1.753826,0.226670,4.206309,0.860485
gpu_cuda,4,1081,1.606220,1.761796,0.118803,3.746615,0.807894
gpu_cuda,4,1081,1.577313,1.761014,0.132866,4.164849,0.730457
gpu_cuda,4,1081,2.880718,1.809817,0.282817,5.278354,0.828166
gpu_cuda,4,1081,2.015132,1.731066,0.193544,4.588293,0.809690
gpu_cuda,4,1081,1.653981,1.702575,0.131876,3.803699,0.778234
gpu_cuda,4,1081,2.232843,1.744659,0.126564,4.385686,0.823758
gpu_cuda,4,1081,1.784816,1.737212,0.151044,3.983181,0.675758
gpu_cuda,4,1081,1.659450,1.745285,0.216930,4.044223,0.719987
gpu_cuda,4,1081,1.828515,1.717576,0.231930,4.300060,0.713860
gpu_cuda,4,1081,1.783775,1.712367,0.187868,4.183184,0.683322
gpu_cuda,4,1081,1.693461,1.738461,0.148752,3.876096,0.802681
gpu_cuda,4,1081,1.699607,1.726274,0.187399,4.042192,0.773013
gpu_cuda,4,1081,1.819244,1.713774,0.125835,4.078598,0.616412
gpu_cuda,4,1081,1.994559,1.710909,0.188284,4.299591,0.757639
gpu_cuda,4,1081,1.647523,1.716430,0.119846,3.747448,0.783653
gpu_cuda,4,1081,1.681013,1.715388,0.131877,3.791616,0.507874
gpu_cuda,256,1081,2.369252,3.385048,0.188857,6.346859,0.853407
gpu_cuda,256,1081,27.105169,3.432287,0.191513,31.044600,0.837743
gpu_cuda,256,1081,1.840703,3.321192,0.235576,5.884873,0.801016
gpu_cuda,256,1081,2.370086,3.492600,0.276983,6.420089,0.818650
gpu_cuda,256,1081,3.046449,3.548278,0.238753,7.153017,0.874002
gpu_cuda,256,1081,2.561703,3.533487,0.253337,7.126610,0.940378
gpu_cuda,256,1081,2.559515,3.426037,0.218857,6.547539,1.000000
gpu_cuda,256,1081,2.285084,3.480256,0.225784,6.291650,1.000000
gpu_cuda,256,1081,2.140291,3.447235,0.294379,6.373058,1.000000
gpu_cuda,256,1081,2.057581,3.491142,0.281306,6.206492,0.991141
gpu_cuda,256,1081,2.127425,3.495830,0.269535,6.289514,0.927235
gpu_cuda,256,1081,2.189197,3.521924,0.252660,6.466131,0.878703
gpu_cuda,256,1081,2.486076,3.525727,0.302087,6.764157,0.842394
gpu_cuda,256,1081,2.353314,3.530258,0.303598,6.628426,0.802775
gpu_cuda,256,1081,2.568212,3.559476,0.278962,6.835200,0.802242
gpu_cuda,4,1081,1.991695,1.778827,0.163492,4.217611,0.976590
gpu_cuda,4,1081,1.803359,1.735545,0.164846,4.041671,0.937984
gpu_cuda,4,1081,1.879818,1.784296,0.168076,4.126672,0.843975
gpu_cuda,4,1081,1.832681,1.758305,0.169325,4.049848,0.855134
gpu_cuda,4,1081,1.871745,1.868152,0.203128,4.235215,0.798825
gpu_cuda,4,1081,1.746743,0.936420,0.136929,3.052542,0.721057
gpu_cuda,4,1081,1.592210,0.926003,0.141825,2.880925,0.824803
gpu_cuda,4,1081,1.440072,0.929024,0.127918,2.709673,0.730812
gpu_cuda,4,1081,1.481844,0.970691,0.140314,2.833321,0.952324
gpu_cuda,4,1081,1.416530,0.921732,0.124845,2.727694,0.821106
gpu_cuda,4,1081,1.418353,0.910326,0.114845,2.651183,0.776387
gpu_cuda,4,1081,1.542625,0.925638,0.124428,2.830300,0.806229
gpu_cuda,4,1081,1.414499,0.913763,0.125679,2.676391,0.777893
gpu_cuda,4,1081,1.387103,0.903919,0.118543,2.620401,0.824857
gpu_cuda,4,1081,1.411634,0.913867,0.124950,2.652069,0.672783
gpu_cuda,4,1081,1.366842,0.923346,0.125887,2.616807,0.720553
