[0m[ INFO] [1779126274.384655204]: Opening /root/catkin_ws/src/cartographer_parallel/cartographer_parallel/bags/scan.bag[0m

Waiting 0.2 seconds after advertising topics... done.

Hit space to toggle paused, or 's' to step.

 [DELAYED]  Bag Time: 1777606585.601609   Duration: 0.000000 / 96.405450   Delay: 1519689.04 
 [RUNNING]  Bag Time: 1777606585.601609   Duration: 0.000000 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.601609   Duration: 0.000000 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.601791   Duration: 0.000183 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.620233   Duration: 0.018624 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.648180   Duration: 0.046571 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.668605   Duration: 0.066996 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.698361   Duration: 0.096752 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.718136   Duration: 0.116528 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.748310   Duration: 0.146701 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.768747   Duration: 0.167139 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.798295   Duration: 0.196686 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.828966   Duration: 0.227358 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.848344   Duration: 0.246735 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.868363   Duration: 0.266755 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.891696   Duration: 0.290088 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.918673   Duration: 0.317064 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.948375   Duration: 0.346766 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.978576   Duration: 0.376967 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.992424   Duration: 0.390816 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.018361   Duration: 0.416752 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.048418   Duration: 0.446810 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.068282   Duration: 0.466674 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.098267   Duration: 0.496659 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.128883   Duration: 0.527275 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.148511   Duration: 0.546903 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.168295   Duration: 0.566687 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.199287   Duration: 0.597679 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.218437   Duration: 0.616829 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.249085   Duration: 0.647477 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.278949   Duration: 0.677341 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.298553   Duration: 0.696945 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.325371   Duration: 0.723762 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.342889   Duration: 0.741281 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.368431   Duration: 0.766822 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.399467   Duration: 0.797858 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.418464   Duration: 0.816855 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.448693   Duration: 0.847084 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.478300   Duration: 0.876691 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.498969   Duration: 0.897361 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.528260   Duration: 0.926651 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.548261   Duration: 0.946652 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.568297   Duration: 0.966688 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.600750   Duration: 0.999141 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.628767   Duration: 1.027159 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.649261   Duration: 1.047652 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.678750   Duration: 1.077141 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.698456   Duration: 1.096847 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.718386   Duration: 1.116777 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.748347   Duration: 1.146738 / 96.405450               
[0m[ INFO] [1779126274.004835767]: Loaded map /root/catkin_ws/src/cartographer_parallel/cartographer_parallel/maps/0501.yaml (467x314, resolution 0.05)[0m
[0m[ INFO] [1779126274.025318927]: Initial search: full_map=true, global_window=30, angular_window=3.15, angular_step=0.035, branch_depth=3, accept_score=0.9[0m
[0m[ INFO] [1779126274.025373199]: Initial refine: linear_window=1, angular_window=0.08, angular_step=0.005, branch_depth=2[0m
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=28.506140 ms, total=128.716700 ms, best_score=0.873465
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=27.265654 ms, total=31.125865 ms, best_score=0.878896
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=5.901283 ms, total=7.903187 ms, best_score=0.866707
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=5.868418 ms, total=8.069804 ms, best_score=0.849021
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=6.038942 ms, total=8.441737 ms, best_score=0.880612
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.476670 ms, total=10.799322 ms, best_score=0.949027
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=6.254830 ms, total=9.549617 ms, best_score=0.991076
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=8.864086 ms, total=12.205644 ms, best_score=0.976768
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.430889 ms, total=10.998961 ms, best_score=0.864037
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.514900 ms, total=9.953009 ms, best_score=0.827487
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.610110 ms, total=9.837798 ms, best_score=0.778284
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.509118 ms, total=10.676195 ms, best_score=0.778557
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.588859 ms, total=10.433431 ms, best_score=0.781419
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=9.237633 ms, total=12.761486 ms, best_score=0.767176
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.611464 ms, total=10.844167 ms, best_score=0.769585
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.600634 ms, total=2.064613 ms, best_score=0.951791
[GPU_CUDA] candidates=4, scan_points=1081, kernel=1.326269 ms, total=4.968613 ms, best_score=0.824259
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.494070 ms, total=2.077895 ms, best_score=0.746161
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.498549 ms, total=3.494426 ms, best_score=0.750529
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.546102 ms, total=2.033519 ms, best_score=0.774261
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.601258 ms, total=1.997372 ms, best_score=0.712975
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.481830 ms, total=1.966330 ms, best_score=0.976768
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.472559 ms, total=2.103937 ms, best_score=0.935398
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.534226 ms, total=1.848308 ms, best_score=0.840855
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.520632 ms, total=2.121697 ms, best_score=0.824113
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.480163 ms, total=1.853881 ms, best_score=0.772756
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.524122 ms, total=2.065655 ms, best_score=0.620290
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.470215 ms, total=1.774036 ms, best_score=0.656342
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.498705 ms, total=1.952007 ms, best_score=0.630458
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.474226 ms, total=1.833256 ms, best_score=0.823348
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.476777 ms, total=1.857319 ms, best_score=0.861294
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.479278 ms, total=1.819974 ms, best_score=0.853857
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.472559 ms, total=1.850808 ms, best_score=0.794573
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.479017 ms, total=1.839402 ms, best_score=0.854340
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.492351 ms, total=1.882736 ms, best_score=0.772879
[GPU_CUDA] candidate
 [RUNNING]  Bag Time: 1777606586.768235   Duration: 1.166627 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.798407   Duration: 1.196798 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.828404   Duration: 1.226795 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.848813   Duration: 1.247204 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.868808   Duration: 1.267199 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.899095   Duration: 1.297486 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.918497   Duration: 1.316888 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.948768   Duration: 1.347160 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.978404   Duration: 1.376795 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.998638   Duration: 1.397030 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.028185   Duration: 1.426576 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.048357   Duration: 1.446748 / 96.405450               
s=4, scan_points=1081, kernel=0.483496 ms, total=1.878152 ms, best_score=0.643326
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.508549 ms, total=1.968622 ms, best_score=0.768958
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.237031 ms, total=8.999400 ms, best_score=0.873465
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.434846 ms, total=10.225460 ms, best_score=0.878718
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.269376 ms, total=9.224039 ms, best_score=0.867272
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=9.071329 ms, total=12.109810 ms, best_score=0.847534
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.726153 ms, total=10.149886 ms, best_score=0.883376
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=10.151292 ms, total=13.062428 ms, best_score=0.948283
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.374221 ms, total=9.625607 ms, best_score=0.991820
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=10.615674 ms, total=16.260182 ms, best_score=0.978255
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.660839 ms, total=10.804010 ms, best_score=0.867722
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.488389 ms, total=10.285826 ms, best_score=0.828975
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.461827 ms, total=10.104989 ms, best_score=0.774954
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.561620 ms, total=10.045457 ms, best_score=0.775048
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.538755 ms, total=10.176084 ms, best_score=0.776957
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.530525 ms, total=9.836652 ms, best_score=0.768664
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=7.437920 ms, total=10.236867 ms, best_score=0.769941
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.559278 ms, total=2.224043 ms, best_score=0.951047
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.509070 ms, total=2.014352 ms, best_score=0.822982
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.494226 ms, total=1.932268 ms, best_score=0.751544
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.479121 ms, total=1.881902 ms, best_score=0.751207
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.531570 ms, total=1.935028 ms, best_score=0.775361
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.533445 ms, total=1.887528 ms, best_score=0.702951
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.479330 ms, total=1.877423 ms, best_score=0.975281
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.479590 ms, total=1.834505 ms, best_score=0.933377
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.481101 ms, total=1.833724 ms, best_score=0.834195
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.510059 ms, total=1.894663 ms, best_score=0.823758
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.537143 ms, total=1.952893 ms, best_score=0.773677
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.485736 ms, total=1.808880 ms, best_score=0.623410
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.483757 ms, total=1.909038 ms, best_score=0.654467
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.483080 ms, total=1.887267 ms, best_score=0.828521
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.469538 ms, total=1.875079 ms, best_score=0.624008
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.469590 ms, total=1.806432 ms, best_score=0.859723
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.484954 ms, total=1.859454 ms, best_score=0.780283
