[0m[ INFO] [1779125432.126078204]: Opening /root/catkin_ws/src/cartographer_parallel/cartographer_parallel/bags/scan.bag[0m

Waiting 0.2 seconds after advertising topics... done.

Hit space to toggle paused, or 's' to step.

 [DELAYED]  Bag Time: 1777606585.601609   Duration: 0.000000 / 96.405450   Delay: 1518846.77 
 [RUNNING]  Bag Time: 1777606585.601609   Duration: 0.000000 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.601609   Duration: 0.000000 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.601782   Duration: 0.000173 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.620922   Duration: 0.019314 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.648233   Duration: 0.046625 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.668602   Duration: 0.066994 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.698293   Duration: 0.096685 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.718182   Duration: 0.116573 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.748260   Duration: 0.146651 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.768867   Duration: 0.167258 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.798234   Duration: 0.196626 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.828965   Duration: 0.227357 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.848256   Duration: 0.246647 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.868418   Duration: 0.266809 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.891748   Duration: 0.290139 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.918717   Duration: 0.317109 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.948314   Duration: 0.346706 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.978557   Duration: 0.376948 / 96.405450               
 [RUNNING]  Bag Time: 1777606585.992370   Duration: 0.390762 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.018409   Duration: 0.416801 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.048355   Duration: 0.446747 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.068336   Duration: 0.466728 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.098200   Duration: 0.496591 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.128874   Duration: 0.527266 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.148443   Duration: 0.546834 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.168347   Duration: 0.566739 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.199272   Duration: 0.597663 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.218488   Duration: 0.616879 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.249144   Duration: 0.647536 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.278979   Duration: 0.677371 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.298598   Duration: 0.696989 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.322508   Duration: 0.720899 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.342900   Duration: 0.741292 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.368767   Duration: 0.767158 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.399586   Duration: 0.797978 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.418438   Duration: 0.816829 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.448729   Duration: 0.847121 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.478276   Duration: 0.876667 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.499706   Duration: 0.898098 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.528474   Duration: 0.926866 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.548355   Duration: 0.946747 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.568815   Duration: 0.967206 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.600012   Duration: 0.998404 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.629024   Duration: 1.027415 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.649414   Duration: 1.047805 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.680048   Duration: 1.078439 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.698691   Duration: 1.097082 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.719265   Duration: 1.117656 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.749771   Duration: 1.148162 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.768708   Duration: 1.167099 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.799740   Duration: 1.198132 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.828727   Duration: 1.227119 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.849255   Duration: 1.247646 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.869326   Duration: 1.267717 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.899476   Duration: 1.297868 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.918483   Duration: 1.316875 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.948832   Duration: 1.347223 / 96.405450               
 [RUNNING]  Bag Time: 1777606586.978208   Duration: 1.376599 / 96.405450               
[0m[ INFO] [1779125431.598157537]: Loaded map /root/catkin_ws/src/cartographer_parallel/cartographer_parallel/maps/0501.yaml (467x314, resolution 0.05)[0m
[0m[ INFO] [1779125431.603218502]: Initial search: full_map=true, global_window=30, angular_window=3.15, angular_step=0.035, branch_depth=3, accept_score=0.9[0m
[0m[ INFO] [1779125431.603327306]: Initial refine: linear_window=1, angular_window=0.08, angular_step=0.005, branch_depth=2[0m
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=28.524147 ms, total=119.050210 ms, best_score=0.873465
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=28.664879 ms, total=32.591034 ms, best_score=0.878896
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=28.622952 ms, total=32.438012 ms, best_score=0.866707
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=28.974050 ms, total=33.012135 ms, best_score=0.849021
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=28.744151 ms, total=32.215507 ms, best_score=0.880612
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=29.870783 ms, total=33.912149 ms, best_score=0.949027
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=29.015249 ms, total=36.200571 ms, best_score=0.991076
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=28.801964 ms, total=32.712963 ms, best_score=0.976768
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=14.917474 ms, total=18.757900 ms, best_score=0.864037
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=15.041383 ms, total=18.834880 ms, best_score=0.827487
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=14.831275 ms, total=18.714983 ms, best_score=0.778284
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=15.200552 ms, total=18.537896 ms, best_score=0.778557
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=14.989611 ms, total=18.338934 ms, best_score=0.781419
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=15.103728 ms, total=18.910402 ms, best_score=0.767176
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=15.362013 ms, total=18.668367 ms, best_score=0.769585
[GPU_CUDA] candidates=4, scan_points=1081, kernel=1.952687 ms, total=4.772003 ms, best_score=0.951791
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.908608 ms, total=2.951505 ms, best_score=0.824259
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.916264 ms, total=2.796242 ms, best_score=0.746161
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.886681 ms, total=2.688167 ms, best_score=0.750529
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.889962 ms, total=2.421236 ms, best_score=0.774261
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.887566 ms, total=2.525352 ms, best_score=0.712975
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.883659 ms, total=2.652021 ms, best_score=0.976768
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.898451 ms, total=2.503686 ms, best_score=0.935398
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.890170 ms, total=2.588322 ms, best_score=0.840855
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.885014 ms, total=2.494883 ms, best_score=0.824113
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.882722 ms, total=2.489831 ms, best_score=0.772756
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.883711 ms, total=2.696084 ms, best_score=0.620290
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.877461 ms, total=2.717230 ms, best_score=0.656342
[GPU_CUDA] candidates=4, scan_points=1081, kernel=1.209290 ms, total=2.727803 ms, best_score=0.630458
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.917149 ms, total=2.676396 ms, best_score=0.823348
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.891316 ms, total=2.957547 ms, best_score=0.861294
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.887566 ms, total=2.539207 ms, best_score=0.853857
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.884909 ms, total=2.507019 ms, best_score=0.794573
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.885587 ms, total=3.106716 ms, best_score=0.854340
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.893607 ms, total=3.265364 ms, best_score=0.772879
[
 [RUNNING]  Bag Time: 1777606586.998423   Duration: 1.396815 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.028201   Duration: 1.426593 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.048461   Duration: 1.446852 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.068700   Duration: 1.467092 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.098503   Duration: 1.496894 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.129110   Duration: 1.527502 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.148717   Duration: 1.547108 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.178689   Duration: 1.577081 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.199009   Duration: 1.597401 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.218523   Duration: 1.616914 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.249214   Duration: 1.647605 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.278498   Duration: 1.676889 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.298502   Duration: 1.696894 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.328356   Duration: 1.726748 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.348369   Duration: 1.746761 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.368227   Duration: 1.766619 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.398612   Duration: 1.797003 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.428219   Duration: 1.826610 / 96.405450               
 [RUNNING]  Bag Time: 1777606587.448556   Duration: 1.846947 / 96.405450               
GPU_CUDA] candidates=4, scan_points=1081, kernel=0.913608 ms, total=2.519779 ms, best_score=0.643326
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.937931 ms, total=2.639417 ms, best_score=0.768958
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=14.342830 ms, total=16.718701 ms, best_score=0.873465
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=14.517885 ms, total=17.163552 ms, best_score=0.877974
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=14.335643 ms, total=16.565782 ms, best_score=0.867272
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=14.561115 ms, total=17.461004 ms, best_score=0.850331
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=14.431998 ms, total=19.028217 ms, best_score=0.881921
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=14.498614 ms, total=17.685955 ms, best_score=0.946618
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=14.602678 ms, total=18.153776 ms, best_score=0.990332
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=12.983642 ms, total=16.088587 ms, best_score=0.980486
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=9.861666 ms, total=12.729055 ms, best_score=0.870342
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=9.954741 ms, total=13.440004 ms, best_score=0.826033
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=9.913281 ms, total=13.319949 ms, best_score=0.775342
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=10.743658 ms, total=16.124890 ms, best_score=0.776148
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=10.031356 ms, total=13.449014 ms, best_score=0.778266
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=10.978715 ms, total=14.763618 ms, best_score=0.766255
[GPU_CUDA] candidates=2601, scan_points=1081, kernel=10.117191 ms, total=13.338127 ms, best_score=0.769941
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.689073 ms, total=2.152534 ms, best_score=0.951581
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.679959 ms, total=2.180659 ms, best_score=0.817243
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.635791 ms, total=2.217535 ms, best_score=0.745272
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.670635 ms, total=2.133523 ms, best_score=0.751207
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.695584 ms, total=2.508373 ms, best_score=0.773518
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.678552 ms, total=2.185867 ms, best_score=0.714462
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.646937 ms, total=2.165295 ms, best_score=0.979743
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.631937 ms, total=2.115814 ms, best_score=0.946876
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.699594 ms, total=2.249671 ms, best_score=0.852156
[GPU_CUDA] candidates=4, scan_points=1081, kernel=0.685323 ms, total=2.222639 ms, best_score=0.819717
